k,f,grad_norm,t_k
524,-132.17642595620393,0.045438608594353606,1.0
525,-132.17643455789664,0.045207262255403106,1.0
526,-132.1764448957758,0.044729838783757414,1.0
527,-132.1764538462338,0.04397347679580492,1.0
528,-132.17646342641146,0.04351307111265808,1.0
529,-132.17647178163614,0.04291170885819512,1.0
530,-132.17648004055954,0.042540451866832384,1.0
531,-132.17648798512988,0.041926273436020345,1.0
532,-132.17649486765666,0.041931431592290305,1.0
533,-132.17650247947861,0.04186105824447819,1.0
534,-132.17651186840877,0.04145697031438602,1.0
535,-132.17652022227804,0.041270858194794084,1.0
536,-132.17652745186126,0.040930028032127024,1.0
537,-132.1765368142192,0.04053544509448644,1.0
538,-132.17654657312363,0.03975092497159189,1.0
539,-132.1765571086134,0.038637514178433204,1.0
540,-132.1765626514514,0.03836178892590611,1.0
541,-132.17656959127248,0.038023607955107265,1.0
542,-132.17657524549233,0.03773878801355269,1.0
543,-132.17658305540473,0.03701903868598477,1.0
544,-132.17659000589177,0.03681560685916441,1.0
545,-132.17659593048293,0.03641316168364916,1.0
546,-132.17660237115604,0.035945246620349675,1.0
547,-132.1766083593079,0.035660836025369166,1.0
548,-132.17661605580793,0.03489688185775746,1.0
549,-132.17662152578364,0.03422208430298056,1.0
550,-132.17662717231903,0.03386174322115447,1.0
551,-132.1766334792726,0.03360293945670883,1.0
552,-132.17663864074967,0.03360345576504674,1.0
553,-132.17664295717648,0.03352028941226681,1.0
554,-132.1766471080763,0.033263589372394334,1.0
555,-132.17665229300962,0.032788949781823194,1.0
556,-132.17665831723312,0.032269929638917255,1.0
557,-132.17666227759938,0.032186585254285215,1.0
558,-132.17666808075995,0.03202375538639447,1.0
559,-132.17667215070023,0.031759645959957644,1.0
560,-132.17667612136302,0.03164690480525528,1.0
561,-132.17668017132556,0.03145014108988122,1.0
562,-132.17668439407515,0.030943581422387834,1.0
563,-132.17668951400924,0.030738028630843173,1.0
564,-132.17669436807222,0.03019237332757547,1.0
565,-132.17669992572402,0.02983322179978041,1.0
566,-132.17670495274442,0.029592048409466786,1.0
567,-132.17671016627472,0.029485173392218032,1.0
568,-132.176715597501,0.028994733808433138,1.0
569,-132.1767188054043,0.02860646336745779,1.0
570,-132.17672257191634,0.02815812871924797,1.0
571,-132.1767263905072,0.02787421946001262,1.0
572,-132.17672901868545,0.027761693323776804,1.0
573,-132.17673184581918,0.027593573976427838,1.0
574,-132.17673611865743,0.027293966278890896,1.0
575,-132.1767394576486,0.02699978831592211,1.0
576,-132.17674330192776,0.026391564234253533,1.0
577,-132.17674720697985,0.025818152268273407,1.0
578,-132.17674997596401,0.025479207550810484,1.0
579,-132.1767527177864,0.025310328970081047,1.0
580,-132.1767557755557,0.024832077760049722,1.0
581,-132.17675889822695,0.02463338915618506,1.0
582,-132.17676175148696,0.024413528995323036,1.0
583,-132.1767645085468,0.024064469203628227,1.0
584,-132.1767665630352,0.02391388636293771,1.0
585,-132.17676986860303,0.02349368595278384,1.0
